Reporter Identifier	VALUE
A_23_P106694	0.412131599
A_23_P106708	-1.073817408
A_23_P106720	0.419605291
A_23_P106727	-0.751212853
A_23_P106737	1.27437162
A_23_P106741	-1.367999174
A_23_P106761	2.595210072
A_23_P106773	-1.898445058
A_23_P106798	1.830279862
A_23_P106806	0.408007588
A_23_P106814	-0.811597051
A_23_P106822	-0.435584031
A_23_P106835	-0.167706773
A_23_P106844	-4.830171355
A_23_P10685	-0.67108864
A_23_P106859	-1.055179842
A_23_P106874	-1.199526331
A_23_P106887	0.337501257
A_23_P106898	0.860653009
A_23_P106906	-1.160820494
A_23_P106922	-0.640141126
A_23_P106933	0.777431205
A_23_P106945	1.301244907
A_23_P106973	0.241244905
A_23_P10699	0.172847601
A_23_P106998	-0.413049467
A_23_P10701	1.960405007
A_23_P107036	0.672553669
A_23_P107048	0.700770713
A_23_P107051	1.629679888
A_23_P107064	0.722180312
A_23_P107073	-0.570722492
A_23_P107087	-1.457415344
A_23_P107102	0.15176102
A_23_P107116	-1.336429069
A_23_P107132	0.344113466
A_23_P107154	-1.348100354
A_23_P107166	0.818647233
A_23_P107173	0.619463345
A_23_P1072	-1.694670693
A_23_P107206	0.689435314
A_23_P10721	0.052024422
A_23_P107211	1.04975175
A_23_P107214	-0.048603015
A_23_P107238	1.369741576
A_23_P107247	0.112729594
A_23_P107257	0.50811785
A_23_P107283	-0.376489599
A_23_P107295	1.025280946
A_23_P107307	0.214418373
A_23_P107313	0.595737898
A_23_P107322	-0.903124376
A_23_P107336	3.922936512
A_23_P107350	-0.727323233
A_23_P107351	1.074654087
A_23_P107369	-1.32139374
A_23_P107373	0.340688833
A_23_P107394	0.104878297
A_23_P107401	-1.67997365
A_23_P107412	-1.964270217
A_23_P107421	-5.093525203
A_23_P10743	2.318771291
A_23_P107432	-2.196172684
A_23_P107454	-2.469719775
A_23_P107465	0.103375695
A_23_P107483	0.621689304
A_23_P107507	-1.361582361
A_23_P107513	-0.428034999
A_23_P10753	0.003353319
A_23_P107531	0.656790805
A_23_P107552	1.07349809
A_23_P107578	-0.031932131
A_23_P107587	-0.921539594
A_23_P107597	-0.963085094
A_23_P107612	-0.100822084
A_23_P107623	0.550506421
A_23_P107644	-1.780652483
A_23_P107653	-1.039882998
A_23_P107661	0.539957739
A_23_P107673	1.74429201
A_23_P107684	0.970401047
A_23_P107693	2.686625929
A_23_P107701	-0.122020283
A_23_P107714	0.551989935
A_23_P107724	-2.531516666
A_23_P107735	4.932270376
A_23_P107744	3.233367986
A_23_P107750	1.941309597
A_23_P107763	3.251590338
A_23_P107775	-0.778158574
A_23_P107795	-0.102853223
A_23_P107801	-0.34716819
A_23_P107847	2.298743254
A_23_P10785	0.899492782
A_23_P107855	0.979288897
A_23_P107881	1.483576568
A_23_P107894	-0.784722053
A_23_P107903	-1.015808885
A_23_P107911	-2.201232093
A_23_P107933	1.559699386
A_23_P107942	-0.070927216
A_23_P107959	1.6735975
A_23_P107963	-1.135995702
A_23_P107974	0.306638862
A_23_P10798	0.175259606
A_23_P107981	-1.120989803
A_23_P107994	0.77805411
A_23_P108028	-0.052679358
A_23_P108042	3.348800262
A_23_P108054	0.584618485
A_23_P108062	0.256689115
A_23_P108075	-2.806632394
A_23_P108082	-0.443723112
A_23_P108103	0.715880133
A_23_P108129	0.966303566
A_23_P108135	-0.38394178
A_23_P108143	-2.588281711
A_23_P10815	-0.155691009
A_23_P108157	-0.211467739
A_23_P108170	-3.165752408
A_23_P108180	0.392525242
A_23_P108200	0.077538727
A_23_P108216	-0.039323321
A_23_P108221	0.393526531
A_23_P108244	-0.163268306
A_23_P108265	0.478170674
A_23_P108280	-0.595933973
A_23_P108294	-3.641335193
A_23_P1083	0.196542289
