Reporter Identifier	VALUE
A_33_P3346348	-0.46676064
A_24_P641130	-0.4205475
A_33_P3324894	0.28494787
A_33_P3388006	-0.5820384
A_23_P115932	-0.23031282
A_23_P256948	0
A_24_P185945	-0.29338598
A_19_P00322254	0.3682065
A_33_P3240249	0.10643053
A_33_P3397147	-0.6220865
A_23_P253046	0.043934345
A_23_P48717	0.2526512
A_32_P530933	-1.6912956
A_33_P3421183	-0.38401222
A_24_P280846	-0.3866558
A_24_P156576	0.28642082
A_33_P3345549	-0.052230835
A_23_P108404	-0.02922535
A_23_P692	0.4409747
A_19_P00328880	0.5453758
A_23_P391275	-0.24477291
A_33_P3383836	-0.38180828
A_23_P150467	-0.21054888
A_23_P42265	0.47414875
A_33_P3364631	-0.3802209
A_23_P116207	0.5636482
A_24_P406060	-0.12474346
A_23_P130689	0.30781174
A_23_P56146	0.8574066
A_33_P3415440	-0.44386816
A_19_P00319023	1.5132041
A_33_P3289401	0.74508905
A_33_P3262625	-1.626884
A_33_P3398406	-0.38370848
A_23_P204850	-0.13408566
A_23_P29939	-0.09995842
A_23_P329962	-0.3700552
A_23_P47924	-0.014428139
A_23_P109470	0.62524605
A_33_P3370132	0.47500324
A_33_P3286121	-0.36630678
A_33_P3247890	-0.3783369
A_23_P110811	0.37994957
A_33_P3341731	0.373971
ERCC-00083_214	0
A_19_P00332432	0.25569916
A_23_P96658	-0.3605523
A_23_P110288	-0.68634844
A_23_P120594	-0.13722706
A_23_P398189	-0.50733376
A_23_P424582	-0.20577621
A_23_P24774	0.5825753
A_33_P3381666	-1.1191001
A_19_P00328337	0
A_24_P159702	-1.0890055
A_23_P216307	-0.4031
A_33_P3329750	-0.33828115
A_33_P3251989	-0.021903992
ERCC-00154_60	-0.01000452
ERCC-00059_120	-0.22071648
A_24_P169234	-0.09877777
A_33_P3351276	0.57039165
A_23_P11774	0.21305656
A_19_P00323431	-0.3507619
A_23_P115011	-0.71108246
A_23_P123402	-0.31574583
A_33_P3396008	-0.20695639
A_23_P59045	2.0629058
A_19_P00331302	-0.44279957
A_23_P106682	0
A_33_P3240492	-0.32203293
A_23_P30122	-0.2396946
A_23_P80718	-0.31493282
A_33_P3214785	-1.1818037
ERCC-00164_60	0.3328228
A_32_P168886	0.4347067
A_33_P3253465	-0.34634495
A_23_P99891	-0.09352493
A_19_P00325042	0.5880637
A_23_P122508	0
A_19_P00328352	0.44720078
A_23_P25720	-0.31956863
A_19_P00808367	-1.1356168
ERCC-00075_180	-0.2953763
A_23_P165504	-0.4317789
A_19_P00329408	0.614995
A_33_P3388822	-0.5282974
A_23_P122197	1.7182131
A_23_P73526	-1.0624366
A_24_P932418	0.5127535
A_33_P3303121	-1.118195
A_24_P191013	0.5229082
A_23_P88893	0.40677452
A_33_P3255782	0.40962982
A_19_P00808747	-0.31214523
A_23_P111865	0.09194136
A_23_P132027	-0.014724731
A_23_P40782	0.07800913
A_33_P3246833	-0.48438215
A_19_P00322411	-0.35669422
A_23_P115636	0.21889019
A_23_P361841	-0.39342976
A_33_P3411980	-0.21631527
A_23_P104224	-3.91E-04
A_23_P114057	-0.19103336
A_23_P1782	0
A_33_P3261914	0.6358981
A_19_P00320173	0
A_23_P324419	-0.25231028
A_23_P12405	0.19184399
A_23_P1331	-1.0663295
A_23_P128084	-0.44239616
A_33_P3364904	-0.36009455
A_23_P107653	0.3253727
A_24_P933418	-0.5852461
A_23_P105465	-0.7514825
A_33_P3287233	0.20540714
A_24_P336577	-0.15157986
ERCC-00158_78	-0.10608673
A_33_P3367889	-0.3026657
A_33_P3412556	0.46813202
A_23_P158257	1.0462933
ERCC-00084_121	-0.076480865
A_33_P3242743	-0.32418442
A_23_P106675	-0.20089388
A_33_P3316052	-0.5087638
A_19_P00327448	-0.45605087
A_23_P311885	-0.2744398
ERCC-00018_67	-0.25341177
A_33_P3288614	0.108407974
A_19_P00321253	-0.23125458
A_19_P00812904	-0.33964396
A_33_P3308476	-0.32431412
A_23_P401675	0.01120472
A_23_P95790	-0.1972537
A_23_P30338	0.027888298
A_33_P3280993	-0.5310788
A_24_P550924	-0.22090721
A_19_P00326174	0.6582775
A_19_P00807483	0.84891176
A_33_P3537861	-0.350492
A_19_P00332176	0.2675128
A_23_P96497	-0.4258318
A_33_P3299435	0.032348633
A_23_P152605	-1.0529156
ERCC-00035_90	0.26085758
A_33_P3373384	-1.1762104
A_33_P3398712	-0.36522532
A_23_P301846	-0.28824806
A_19_P00319151	-1.4968729
(+)E1A_r60_a107	0.007796764
A_33_P3367850	0.64070415
A_33_P3244991	-0.76867676
A_24_P213715	-0.37636518
A_23_P70213	-0.64204407
ERCC-00033_60	-0.24739218
A_23_P94275	0.5112586
A_23_P35848	0.45262194
A_23_P200298	-0.2845254
A_19_P00800116	0.6923604
A_33_P3246663	-0.3809724
A_33_P3268726	0.19361687
A_33_P3417865	-0.29747915
A_19_P00812176	-0.27030182
A_19_P00806976	-0.4226408
A_23_P4425	0.27110004
A_33_P3250055	0.24839497
ETG08_142674	-0.24565077
A_24_P256404	-0.2984538
A_33_P3226425	0.51436234
A_23_P213706	-0.25613308
A_33_P3420914	0.39851856
