Reporter Identifier	VALUE
GT_44k_23_P104853	-7.6797705
GT_44k_23_P104865	-6.7917747
GT_44k_23_P104876	1.5186682
GT_44k_23_P10488	-6.986246
GT_44k_23_P104881	-2.1236844
GT_44k_23_P104892	5.8872623
GT_44k_23_P104942	3.1639652
GT_44k_23_P10497	1.1086521
GT_44k_23_P104972	-5.3121347
GT_44k_23_P104996	-0.34491158
GT_44k_23_P10500	-5.684286
GT_44k_23_P105002	-0.3723488
GT_44k_23_P105012	-6.903239
GT_44k_23_P105028	1.5322132
GT_44k_23_P105044	3.040371
GT_44k_23_P10506	-8.292622
GT_44k_23_P105066	2.2439308
GT_44k_23_P105088	-6.5893707
GT_44k_23_P105118	-7.8514686
GT_44k_23_P105138	2.5552053
GT_44k_23_P105144	-5.4664645
GT_44k_23_P10518	-4.8803334
GT_44k_23_P105184	2.7660656
GT_44k_23_P105197	-4.183971
GT_44k_23_P105212	-8.318961
GT_44k_23_P105227	-3.9897766
GT_44k_23_P105251	-1.3193083
GT_44k_23_P105264	1.6068754
GT_44k_23_P105276	0.2333498
GT_44k_23_P105307	-2.274683
GT_44k_23_P105313	2.7690735
GT_44k_23_P105368	-4.3309965
GT_44k_23_P105382	-0.7978401
GT_44k_23_P105392	6.5002613
GT_44k_23_P105409	-2.0825968
GT_44k_23_P10542	-8.251815
GT_44k_23_P105423	-5.3194275
GT_44k_23_P105436	-1.8194752
GT_44k_23_P105442	-1.5671921
GT_44k_23_P105453	-8.183521
GT_44k_23_P105461	-4.6859164
GT_44k_23_P105465	-8.394433
GT_44k_23_P105475	-8.365168
GT_44k_23_P105495	-4.7211485
GT_44k_23_P105519	0.75468445
GT_44k_23_P105524	-8.15201
GT_44k_23_P105535	-0.5956297
GT_44k_23_P105545	-6.452309
GT_44k_23_P105562	-2.6599693
GT_44k_23_P105571	-1.3335209
GT_44k_23_P105583	-2.1518474
GT_44k_23_P10559	-2.1534877
GT_44k_23_P105592	2.4513721
GT_44k_23_P1056	0.3398943
GT_44k_23_P10561	-6.42268
GT_44k_23_P105619	1.4017286
GT_44k_23_P105625	2.758214
GT_44k_23_P10564	-8.367274
GT_44k_23_P105646	-1.5682535
GT_44k_23_P105651	-8.23549
GT_44k_23_P105664	2.762823
GT_44k_23_P105691	-6.3987885
GT_44k_23_P105705	-7.309289
GT_44k_23_P105730	-3.9495177
GT_44k_23_P105747	-3.5832639
GT_44k_23_P105753	-0.27749062
GT_44k_23_P105794	-1.3600101
GT_44k_23_P105803	-3.7077613
GT_44k_23_P105815	-3.4470043
GT_44k_23_P105833	-1.3828831
GT_44k_23_P105856	-5.5536156
GT_44k_23_P105862	2.3310585
GT_44k_23_P105873	-7.757136
GT_44k_23_P105886	-8.330614
GT_44k_23_P105900	4.350768
GT_44k_23_P10591	5.2081194
GT_44k_23_P105923	-6.209502
GT_44k_23_P105939	-7.1046133
GT_44k_23_P105957	4.045538
GT_44k_23_P105963	-6.15647
GT_44k_23_P105973	-8.337057
GT_44k_23_P106	-2.5743346
GT_44k_23_P106002	5.4468327
GT_44k_23_P106016	-5.661451
GT_44k_23_P106024	-2.9204059
GT_44k_23_P106042	-7.063512
GT_44k_23_P106056	4.842993
GT_44k_23_P106069	-6.3199844
GT_44k_23_P106080	-5.753803
GT_44k_23_P106103	-6.975136
GT_44k_23_P106117	-8.276514
GT_44k_23_P106127	2.486331
GT_44k_23_P106131	4.153145
GT_44k_23_P10614	-2.5522137
GT_44k_23_P106145	2.9953804
GT_44k_23_P106158	-2.4627786
GT_44k_23_P106162	2.3486147
GT_44k_23_P106174	-1.9915757
GT_44k_23_P106194	3.6333609
GT_44k_23_P106204	0.2661085
GT_44k_23_P106226	4.465967
GT_44k_23_P106236	-8.171186
GT_44k_23_P106241	2.594801
GT_44k_23_P106258	-3.6109977
GT_44k_23_P106280	0.8136854
GT_44k_23_P106299	5.3796377
GT_44k_23_P106322	-1.5188761
GT_44k_23_P106362	2.1871986
GT_44k_23_P106371	-3.4340448
GT_44k_23_P106389	-1.5561285
GT_44k_23_P106391	0.9442005
GT_44k_23_P10640	-5.4825993
GT_44k_23_P106405	-7.159012
GT_44k_23_P106412	2.132454
GT_44k_23_P106425	-3.328414
GT_44k_23_P106433	3.3651686
GT_44k_23_P106439	1.0013666
GT_44k_23_P106463	3.0958443
GT_44k_23_P10647	-8.325207
GT_44k_23_P106472	6.690506
GT_44k_23_P106481	4.2413635
GT_44k_23_P106497	-0.26138687
GT_44k_23_P106505	-0.021959305
GT_44k_23_P106522	2.0253859
GT_44k_23_P106532	2.2026796
GT_44k_23_P106544	4.081938
GT_44k_23_P106559	-3.7810268
GT_44k_23_P106562	-1.2941027
GT_44k_23_P106575	1.2917461
GT_44k_23_P106602	-7.69044
GT_44k_23_P106617	-8.187644
GT_44k_23_P106629	-3.034408
GT_44k_23_P106633	2.8979683
GT_44k_23_P106656	-8.324552
GT_44k_23_P106661	-1.0775318
GT_44k_23_P106663	-2.881803
GT_44k_23_P106675	2.5266829
GT_44k_23_P106682	2.0309858
GT_44k_23_P106694	0.7876482
GT_44k_23_P106708	8.7675
GT_44k_23_P106720	-2.5414953
GT_44k_23_P106727	0.22456741
GT_44k_23_P106737	0.07110119
GT_44k_23_P106741	4.834567
GT_44k_23_P106761	4.435953
GT_44k_23_P106773	2.6903715
GT_44k_23_P106798	0.046380043
GT_44k_23_P106806	-4.4177723
GT_44k_23_P106822	1.3822613
GT_44k_23_P106835	1.4019356
GT_44k_23_P106844	5.576851
GT_44k_23_P10685	1.7517023
GT_44k_23_P106859	4.1864967
GT_44k_23_P106874	-0.5040264
GT_44k_23_P106887	3.1674042
GT_44k_23_P106898	-0.98450375
GT_44k_23_P106906	-5.2845097
GT_44k_23_P106922	-2.446436
GT_44k_23_P106933	-8.067995
GT_44k_23_P106945	-1.5555048
GT_44k_23_P106973	5.760538
GT_44k_23_P10699	-0.803895
GT_44k_23_P106998	1.4350243
GT_44k_23_P10701	-1.5186682
GT_44k_23_P107036	2.2178335
GT_44k_23_P107048	-0.7303791
GT_44k_23_P107051	-0.6313858
GT_44k_23_P107064	-7.0070677
GT_44k_23_P107073	3.422987
GT_44k_23_P107087	-2.0645685
GT_44k_23_P107102	-8.112943
GT_44k_23_P107116	-3.1375675
GT_44k_23_P107132	-8.340939
GT_44k_23_P107154	1.0093088
GT_44k_23_P107166	-3.6139936
GT_44k_23_P107173	-8.3041
GT_44k_23_P1072	4.914194
GT_44k_23_P107206	-0.7356901
GT_44k_23_P10721	-8.385571
GT_44k_23_P107211	0.7494402
GT_44k_23_P107214	2.4956474
GT_44k_23_P107238	-3.7563267
GT_44k_23_P107247	-2.188538
GT_44k_23_P107257	1.080926
GT_44k_23_P107283	-6.84622
GT_44k_23_P107295	0.4182768
GT_44k_23_P107307	-1.9546947
GT_44k_23_P107313	1.0567999
GT_44k_23_P107322	-0.33049488
GT_44k_23_P107336	-8.140504
GT_44k_23_P107350	-7.8173895
GT_44k_23_P107351	-4.362997
GT_44k_23_P107369	3.641923
GT_44k_23_P107373	1.9662514
GT_44k_23_P107394	6.1138515
GT_44k_23_P107401	4.4024134
GT_44k_23_P107412	4.2760153
GT_44k_23_P107421	7.096056
GT_44k_23_P10743	-6.693161
GT_44k_23_P107432	-1.2990732
GT_44k_23_P107443	-8.24318
GT_44k_23_P107454	-6.4136057
GT_44k_23_P107465	-2.9384365
GT_44k_23_P107483	-4.4867935
GT_44k_23_P107507	2.280222
GT_44k_23_P107513	-0.4324665
GT_44k_23_P10753	-8.356595
GT_44k_23_P107531	-6.274219
GT_44k_23_P107552	1.1322746
GT_44k_23_P107565	-8.398026
GT_44k_23_P107578	-8.3742485
GT_44k_23_P107587	-0.027338028
GT_44k_23_P107597	-5.489574
GT_44k_23_P107612	-6.7098618
GT_44k_23_P107623	-8.188974
GT_44k_23_P107644	5.3384485
GT_44k_23_P107653	4.812026
GT_44k_23_P107661	1.3268013
GT_44k_23_P107673	-4.5166273
GT_44k_23_P107684	-0.7090578
GT_44k_23_P107693	-2.9054723
GT_44k_23_P107701	1.8767872
GT_44k_23_P107714	-0.50041485
GT_44k_23_P107724	-8.182928
GT_44k_23_P107735	0.04301262
GT_44k_23_P107744	-6.360815
GT_44k_23_P107750	-8.244638
GT_44k_23_P107763	-0.5279808
GT_44k_23_P107775	-4.3780074
GT_44k_23_P107795	3.6466637
GT_44k_23_P107801	-0.72851753
GT_44k_23_P107847	-7.096852
GT_44k_23_P10785	-0.75093365
GT_44k_23_P107855	-2.4922109
GT_44k_23_P107881	-6.6404166
GT_44k_23_P107894	-0.6422062
GT_44k_23_P107903	-1.5091085
GT_44k_23_P107911	-2.3401346
GT_44k_23_P107933	-1.0610638
GT_44k_23_P107942	-0.020638466
GT_44k_23_P107959	3.1364756
GT_44k_23_P107963	-3.4204712
GT_44k_23_P107974	-4.9953074
GT_44k_23_P10798	-4.2144127
GT_44k_23_P107981	-5.5586896
GT_44k_23_P107994	2.078
GT_44k_23_P108028	-0.15078163
GT_44k_23_P108042	-3.4394975
GT_44k_23_P108054	-0.8798437
GT_44k_23_P108062	-5.722142
GT_44k_23_P108075	-3.61229
GT_44k_23_P108082	-5.4441614
GT_44k_23_P108103	0.12032604
GT_44k_23_P108129	-3.0752769
GT_44k_23_P108135	6.7519264
GT_44k_23_P108143	2.321207
GT_44k_23_P10815	3.237565
GT_44k_23_P108157	-6.0452003
GT_44k_23_P108170	-7.9557295
GT_44k_23_P108180	-5.553815
GT_44k_23_P108200	-4.9545116
GT_44k_23_P108216	-6.1923013
GT_44k_23_P108221	-5.807274
GT_44k_23_P108244	5.0424175
GT_44k_23_P108265	-4.5007854
GT_44k_23_P108280	-8.301058
GT_44k_23_P108294	-2.594026
GT_44k_23_P1083	-4.0753403
GT_44k_23_P108303	4.0296335
